Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-19 00:00:00-04:00,5930.5,5987.5,5892.75,5982.5,1109306,0.0,0.0
2025-05-20 00:00:00-04:00,5980.25,5993.25,5926.5,5959.75,1108376,0.0,0.0
2025-05-21 00:00:00-04:00,5954.5,5958.0,5847.75,5861.25,1730979,0.0,0.0
2025-05-22 00:00:00-04:00,5857.75,5895.0,5828.0,5856.75,1369704,0.0,0.0
2025-05-23 00:00:00-04:00,5868.25,5872.0,5756.5,5817.0,1529717,0.0,0.0
2025-05-27 00:00:00-04:00,5820.25,5941.75,5813.25,5934.25,1049447,0.0,0.0
2025-05-28 00:00:00-04:00,5941.25,5952.5,5890.0,5902.75,994371,0.0,0.0
2025-05-29 00:00:00-04:00,5924.0,6008.0,5883.75,5922.75,1390956,0.0,0.0
2025-05-30 00:00:00-04:00,5913.0,5932.75,5853.0,5916.0,1403929,0.0,0.0
2025-06-02 00:00:00-04:00,5898.5,5955.5,5867.5,5947.25,957540,0.0,0.0
2025-06-03 00:00:00-04:00,5949.25,5991.25,5909.0,5981.5,902277,0.0,0.0
2025-06-04 00:00:00-04:00,5980.0,5999.0,5974.0,5981.0,874125,0.0,0.0
2025-06-05 00:00:00-04:00,5976.5,6016.0,5928.75,5946.0,0,0.0,0.0
2025-06-06 00:00:00-04:00,5934.0,6025.0,5930.0,6006.75,1065622,0.0,0.0
2025-06-09 00:00:00-04:00,6010.0,6027.75,5992.25,6010.25,845572,0.0,0.0
2025-06-10 00:00:00-04:00,6013.5,6049.25,5991.0,6045.0,1028287,0.0,0.0
2025-06-11 00:00:00-04:00,6039.25,6074.75,6006.25,6029.0,1419135,0.0,0.0
2025-06-12 00:00:00-04:00,6028.0,6051.0,5981.75,6049.5,1183740,0.0,0.0
2025-06-13 00:00:00-04:00,6043.5,6044.25,5925.0,5979.25,1435265,0.0,0.0
2025-06-16 00:00:00-04:00,5950.0,6055.5,5941.0,6035.75,407754,0.0,0.0
2025-06-17 00:00:00-04:00,6037.0,6040.25,5976.5,5985.0,311630,0.0,0.0
2025-06-18 00:00:00-04:00,5980.0,6023.0,5965.0,5981.5,0,0.0,0.0
2025-06-20 00:00:00-04:00,5981.5,6020.0,5918.25,6010.21,1446843,0.0,0.0
2025-06-23 00:00:00-04:00,5964.25,6081.5,5949.0,6077.0,1227929,0.0,0.0
2025-06-24 00:00:00-04:00,6077.75,6155.25,6075.25,6146.25,857053,0.0,0.0
2025-06-25 00:00:00-04:00,6143.75,6160.25,6130.75,6147.0,733656,0.0,0.0
2025-06-26 00:00:00-04:00,6144.5,6200.0,6141.25,6195.0,704673,0.0,0.0
2025-06-27 00:00:00-04:00,6199.0,6239.0,6183.5,6223.75,946157,0.0,0.0
2025-06-30 00:00:00-04:00,6223.25,6265.5,6223.25,6253.75,960372,0.0,0.0
2025-07-01 00:00:00-04:00,6245.5,6261.5,6227.25,6248.75,981330,0.0,0.0
2025-07-02 00:00:00-04:00,6248.25,6279.25,6235.5,6275.0,725806,0.0,0.0
2025-07-03 00:00:00-04:00,6276.75,6333.5,6270.25,6324.25,0,0.0,0.0
